Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
MJ Clarke,2010-2015,53,97,10,4129,329,47.45,7023,58.79,14,8,4,483,20
DA Warner,2011-2015,43,81,3,3649,180,46.78,4905,74.39,12,19,5,445,36
SPD Smith,2010-2015,31,59,8,2995,215,58.72,5411,55.35,11,11,3,337,25
SR Watson,2010-2015,39,74,2,2484,176,34.5,4660,53.3,3,15,5,310,23
MEK Hussey,2010-2013,27,47,4,2254,195,52.41,4176,53.97,8,8,4,228,20
CJL Rogers,2013-2015,24,46,1,1996,173,44.35,3955,50.46,5,14,1,264,1
BJ Haddin,2010-2015,39,67,8,1721,136,29.16,3000,57.36,2,13,7,185,27
RT Ponting,2010-2012,22,40,2,1352,221,35.57,2566,52.68,2,10,4,147,3
MG Johnson,2010-2015,35,58,8,1065,92,21.3,1871,56.92,0,7,10,122,13
EJM Cowan,2011-2013,18,32,0,1001,136,31.28,2425,41.27,1,6,2,123,2
PJ Hughes,2010-2013,19,36,1,920,126,26.28,1868,49.25,1,5,4,117,4
SE Marsh,2011-2015,15,27,1,861,148,33.11,1852,46.49,2,4,7,103,5
PM Siddle,2010-2015,40,59,6,718,51,13.54,1569,45.76,0,2,9,72,2
MA Starc,2011-2015,22,33,8,648,99,25.92,990,65.45,0,6,5,76,7
MS Wade,2012-2013,12,22,4,623,106,34.61,1244,50.08,2,3,0,59,6
RJ Harris,2010-2015,25,37,10,575,74,21.29,912,63.04,0,3,2,58,9
NM Lyon,2011-2015,46,58,27,454,40,14.64,1128,40.24,0,0,4,61,1
UT Khawaja,2011-2013,9,17,2,377,65,25.13,939,40.14,0,2,1,37,3
AC Voges,2015-2015,7,10,2,368,130,46,753,48.87,1,2,1,49,2
JL Pattinson,2011-2014,13,18,7,331,42,30.09,826,40.07,0,0,1,38,3
MR Marsh,2014-2015,7,13,2,310,87,28.18,543,57.09,0,1,1,35,6
BW Hilfenhaus,2010-2012,16,23,6,210,34,12.35,416,50.48,0,0,6,28,4
SM Katich,2010-2010,4,8,0,207,50,25.87,477,43.39,0,1,1,23,0
AJ Doolan,2014-2014,4,8,0,191,89,23.87,455,41.97,0,1,1,26,1
MJ North,2010-2010,4,7,0,190,128,27.14,429,44.28,1,0,1,25,1
GJ Bailey,2013-2014,5,8,1,183,53,26.14,311,58.84,0,1,1,15,8
TD Paine,2010-2010,2,4,0,183,92,45.75,404,45.29,0,2,0,24,0
MC Henriques,2013-2013,3,6,1,156,81,31.2,318,49.05,0,2,2,12,2
JA Burns,2014-2015,2,4,0,146,66,36.5,197,74.11,0,2,0,20,3
PM Nevill,2015-2015,4,6,0,143,59,23.83,313,45.68,0,1,0,17,0
JR Hazlewood,2014-2015,9,11,6,140,39,28,280,50,0,0,1,20,1
AC Agar,2013-2013,2,4,0,130,98,32.5,206,63.1,0,1,0,18,2
GJ Maxwell,2013-2014,3,6,0,80,37,13.33,114,70.17,0,0,0,7,2
NM Hauritz,2010-2010,2,4,1,56,21,18.66,135,41.48,0,0,0,5,0
JW Hastings,2012-2012,1,2,0,52,32,26,88,59.09,0,0,0,5,2
XJ Doherty,2010-2013,4,7,3,51,18,12.75,159,32.07,0,0,0,8,0
JP Faulkner,2013-2013,1,2,0,45,23,22.5,43,104.65,0,0,0,4,1
TA Copeland,2011-2011,3,4,1,39,23,13,77,50.64,0,0,0,7,0
PJ Cummins,2011-2011,1,2,1,15,13,15,22,68.18,0,0,0,2,0
DE Bollinger,2010-2010,2,4,3,12,7,12,38,31.57,0,0,1,1,0
RJ Quiney,2012-2012,2,3,0,9,9,3,22,40.9,0,0,2,1,0
JM Bird,2012-2013,3,4,3,7,6,7,53,13.2,0,0,1,1,0
MA Beer,2011-2012,2,3,1,6,2,3,28,21.42,0,0,0,0,0
SNJ O'Keefe,2014-2014,1,2,1,6,6,6,53,11.32,0,0,0,0,0
PR George,2010-2010,1,2,0,2,2,1,11,18.18,0,0,1,0,0
