Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
ST Finn,2011-2015,65,63,557.4,35,2839,98,5/33,28.96,5.09,34.1,4,2
JM Anderson,2011-2015,61,60,503.2,36,2432,90,5/34,27.02,4.83,33.5,3,1
TT Bresnan,2011-2015,52,51,437,23,2398,73,5/48,32.84,5.48,35.9,2,1
JC Tredwell,2011-2015,43,42,337.4,18,1596,60,4/41,26.6,4.72,33.7,3,0
SCJ Broad,2011-2015,46,46,383.5,17,2088,53,15/04/2015,39.39,5.43,43.4,1,0
CR Woakes,2011-2015,37,36,291,10,1726,47,6/45,36.72,5.93,37.1,2,2
GP Swann,2011-2013,36,35,317.5,15,1452,45,18/03/2015,32.26,4.56,42.3,0,0
CJ Jordan,2013-2015,24,24,204.3,4,1195,39,29/05/2015,30.64,5.84,31.4,0,1
BA Stokes,2011-2015,34,26,176,2,1096,32,5/61,34.25,6.22,33,1,1
JW Dernbach,2011-2013,24,24,205.4,6,1308,31,4/45,42.19,6.35,39.8,1,0
RS Bopara,2011-2015,66,55,244.5,8,1192,30,20/03/2015,39.73,4.86,48.9,0,0
MM Ali,2014-2015,27,26,213,3,1037,27,3/32,38.4,4.86,47.3,0,0
AU Rashid,2015-2015,11,10,89,1,560,15,4/55,37.33,6.29,35.6,2,0
SR Patel,2011-2013,25,23,141.1,2,772,13,26/03/2015,59.38,5.46,65.1,0,0
JE Root,2013-2015,59,37,138,2,802,12,15/02/2015,66.83,5.81,69,0,0
DJ Willey,2015-2015,6,6,48,5,289,12,3/51,24.08,6.02,24,0,0
HF Gurney,2014-2014,10,10,75.5,4,432,11,4/55,39.27,5.69,41.3,1,0
WB Rankin,2013-2014,7,6,53.1,3,241,10,4/46,24.1,4.53,31.9,1,0
A Shahzad,2011-2011,7,7,65.1,2,339,9,3/43,37.66,5.2,43.4,0,0
LE Plunkett,2011-2015,6,6,50,0,306,8,3/60,38.25,6.12,37.5,0,0
MH Yardy,2011-2011,9,9,80,2,460,7,2/59,65.71,5.75,68.5,0,0
CT Tremlett,2011-2011,6,6,50.5,0,286,6,22/03/2015,47.66,5.62,50.8,0,0
PD Collingwood,2011-2011,8,7,48,1,199,5,25/02/2015,39.8,4.14,57.6,0,0
MA Wood,2015-2015,7,7,59,1,344,5,25/01/2015,68.8,5.83,70.8,0,0
SD Parry,2014-2014,2,2,19,2,92,4,3/32,23,4.84,28.5,0,0
DR Briggs,2012-2012,1,1,10,0,39,2,2/39,19.5,3.9,30,0,0
SC Meaker,2011-2011,2,2,19,1,110,2,1/45,55,5.78,57,0,0
IJL Trott,2011-2013,57,7,19.3,0,119,2,2/31,59.5,6.1,58.5,0,0
KP Pietersen,2011-2013,32,6,21,0,124,1,1/43,124,5.9,126,0,0
SG Borthwick,2011-2011,2,2,9,0,72,0,-,-,8,-,0,0
MA Carberry,2013-2014,6,1,1,0,12,0,-,-,12,-,0,0
RJW Topley,2015-2015,1,1,5.2,1,33,0,-,-,6.18,-,0,0
LJ Wright,2011-2014,8,5,22,0,115,0,-,-,5.22,-,0,0
ZS Ansari,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-
JM Bairstow,2011-2015,12,-,-,-,-,-,-,-,-,-,-,-
GS Ballance,2013-2015,16,-,-,-,-,-,-,-,-,-,-,-
IR Bell,2011-2015,78,-,-,-,-,-,-,-,-,-,-,-
SW Billings,2015-2015,5,-,-,-,-,-,-,-,-,-,-,-
JC Buttler,2012-2015,61,-,-,-,-,-,-,-,-,-,-,-
AN Cook,2011-2014,66,-,-,-,-,-,-,-,-,-,-,-
SM Davies,2011-2011,2,-,-,-,-,-,-,-,-,-,-,-
AD Hales,2014-2015,20,-,-,-,-,-,-,-,-,-,-,-
C Kieswetter,2011-2013,34,-,-,-,-,-,-,-,-,-,-,-
MJ Lumb,2014-2014,3,-,-,-,-,-,-,-,-,-,-,-
EJG Morgan,2011-2015,96,-,-,-,-,-,-,-,-,-,-,-
MJ Prior,2011-2011,13,-,-,-,-,-,-,-,-,-,-,-
JJ Roy,2015-2015,11,-,-,-,-,-,-,-,-,-,-,-
AJ Strauss,2011-2011,14,-,-,-,-,-,-,-,-,-,-,-
JWA Taylor,2011-2015,23,-,-,-,-,-,-,-,-,-,-,-
JM Vince,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-
