Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
V Kohli,2010-2015,129,124,19,5441,183,51.81,5950,91.44,19,26,8,512,56
RG Sharma,2010-2015,87,84,11,3375,264,46.23,3946,85.52,6,22,5,301,87
MS Dhoni,2011-2015,96,81,28,3057,139,57.67,3378,90.49,2,23,1,241,69
SK Raina,2010-2015,117,103,17,2988,110,34.74,3087,96.79,2,19,9,256,62
S Dhawan,2011-2015,66,65,3,2724,137,43.93,3048,89.37,8,14,1,323,33
G Gambhir,2010-2013,47,47,3,1887,138,42.88,2189,86.2,4,13,4,194,1
AM Rahane,2011-2015,61,60,2,1820,111,31.37,2380,76.47,2,12,6,182,19
RA Jadeja,2010-2015,87,61,22,1269,87,32.53,1441,88.06,0,6,2,105,28
AT Rayudu,2013-2015,31,28,7,952,124,45.33,1219,78.09,2,5,1,78,13
V Sehwag,2011-2013,23,23,0,893,219,38.82,783,114.04,2,2,3,113,15
Yuvraj Singh,2010-2013,38,33,7,851,113,32.73,1057,80.51,1,7,5,98,12
SR Tendulkar,2011-2012,21,21,0,828,120,39.42,966,85.71,3,3,0,89,10
R Ashwin,2010-2015,98,56,18,619,65,16.28,726,85.26,0,1,6,55,4
PA Patel,2010-2012,24,24,2,604,95,27.45,736,82.06,0,4,1,66,7
YK Pathan,2010-2012,20,15,2,434,123,33.38,348,124.71,2,1,1,31,26
KD Karthik,2013-2014,19,16,6,305,69,30.5,440,69.31,0,2,0,32,2
MK Tiwary,2011-2015,11,11,1,285,104,28.5,387,73.64,1,1,0,24,3
M Vijay,2010-2015,12,11,0,253,72,23,372,68.01,0,1,0,23,3
STR Binny,2014-2015,14,11,3,230,77,28.75,246,93.49,0,1,1,23,5
B Kumar,2012-2015,53,27,8,204,31,10.73,264,77.27,0,0,5,19,2
IK Pathan,2011-2012,13,9,3,176,47,29.33,180,97.77,0,0,0,15,4
Harbhajan Singh,2011-2015,22,14,5,154,41,17.11,202,76.23,0,0,2,6,6
RV Uthappa,2014-2015,8,8,1,148,50,21.14,176,84.09,0,1,1,13,3
KM Jadhav,2014-2015,4,4,1,146,105,48.66,137,106.56,1,0,0,17,1
R Dravid,2011-2011,5,5,0,124,69,24.8,160,77.5,0,1,0,9,0
Mohammed Shami,2013-2015,47,21,11,109,25,10.9,125,87.2,0,0,4,7,6
R Vinay Kumar,2011-2013,29,13,4,86,27,9.55,146,58.9,0,0,2,5,2
AR Patel,2014-2015,20,13,5,82,17,10.25,83,98.79,0,0,3,4,5
Z Khan,2010-2012,25,10,0,73,24,7.3,138,52.89,0,0,2,9,0
MK Pandey,2015-2015,1,1,0,71,71,71,86,82.55,0,1,0,4,1
P Kumar,2010-2012,22,9,5,67,25,16.75,67,100,0,0,0,4,3
CA Pujara,2013-2014,5,5,0,51,27,10.2,130,39.23,0,0,2,4,0
UT Yadav,2011-2015,49,16,10,47,17,7.83,80,58.75,0,0,2,7,1
WP Saha,2010-2014,9,5,2,41,16,13.66,56,73.21,0,0,0,5,0
S Badrinath,2011-2011,4,3,0,40,17,13.33,85,47.05,0,0,0,3,0
SS Tiwary,2010-2010,2,1,1,37,37,-,39,94.87,0,0,0,3,1
MM Sharma,2013-2015,24,8,4,31,11,7.75,62,50,0,0,1,5,0
I Sharma,2011-2015,31,13,7,25,7,4.16,67,37.31,0,0,2,2,0
A Mishra,2011-2015,19,7,3,24,9,6,52,46.15,0,0,1,2,0
A Mithun,2011-2011,3,1,0,23,23,23,16,143.75,0,0,0,2,2
MM Patel,2010-2011,25,8,6,13,6,6.5,18,72.22,0,0,1,1,0
PP Chawla,2011-2011,4,2,0,10,8,5,15,66.66,0,0,0,1,0
A Nehra,2010-2011,12,6,1,9,6,1.8,31,29.03,0,0,2,1,0
VR Aaron,2011-2014,9,3,2,8,6,8,15,53.33,0,0,1,1,0
PP Ojha,2012-2012,2,1,0,5,5,5,18,27.77,0,0,0,0,0
S Sreesanth,2010-2011,4,1,0,4,4,4,6,66.66,0,0,0,1,0
AB Dinda,2012-2013,8,2,0,3,3,1.5,6,50,0,0,1,0,0
DS Kulkarni,2014-2015,8,1,1,2,2,-,2,100,0,0,0,0,0
R Sharma,2011-2012,4,1,0,1,1,1,2,50,0,0,0,0,0
Parvez Rasool,2014-2014,1,-,-,-,-,-,-,-,-,-,-,-,-
