Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,BBM,Ave,Econ,SR,5,10
TA Boult,2011-2015,32,60,1165.4,267,3336,123,6/40,10/80,27.12,2.86,56.8,4,1
TG Southee,2010-2015,32,61,1200.2,256,3533,119,7/64,10/108,29.68,2.94,60.5,3,1
N Wagner,2012-2014,16,30,586.4,114,2000,58,5/64,8/126,34.48,3.4,60.6,1,0
DAJ Bracewell,2011-2015,19,35,567.4,95,1931,55,6/40,9/60,35.1,3.4,61.9,2,0
CS Martin,2010-2013,15,26,492.5,103,1537,52,6/26/2015,8/31/2015,29.55,3.11,56.8,2,0
MD Craig,2014-2015,10,20,427.1,84,1521,38,7/94,10/203,40.02,3.56,67.4,1,1
DL Vettori,2010-2014,13,22,636.1,159,1434,37,5/70,8/141,38.75,2.25,103.1,2,0
IS Sodhi,2013-2014,11,20,375.4,49,1426,27,4/96,4/111,52.81,3.79,83.4,0,0
KS Williamson,2010-2015,41,45,303.1,44,1005,27,4/44,4/44,37.22,3.31,67.3,0,0
JS Patel,2010-2013,8,13,283.1,50,933,15,4/100,4/100,62.2,3.29,113.2,0,0
CJ Anderson,2013-2015,11,20,174,32,500,13,3/47,4/69,38.46,2.87,80.3,0,0
BP Martin,2013-2013,5,9,253,77,646,12,4/43,5/133,53.83,2.55,126.5,0,0
MR Gillespie,2012-2012,2,4,58.4,9,251,11,6/113,6/168,22.81,4.27,32,2,0
JDS Neesham,2014-2015,8,13,109.5,12,361,11,3/42,3/42,32.81,3.28,59.9,0,0
MJ Henry,2015-2015,2,4,86.1,12,340,8,4/93,6/199,42.5,3.94,64.6,0,0
BJ Arnel,2010-2012,4,7,94,23,316,4,4/95,4/95,79,3.36,141,0,0
JEC Franklin,2011-2013,5,7,61.2,9,174,2,1/16/2015,1/31/2015,87,2.83,184,0,0
MJ Guptill,2010-2015,22,11,41,1,211,2,1/18/2015,1/18/2015,105.5,5.14,123,0,0
C Munro,2013-2013,1,1,18,4,40,2,2/40,2/40,20,2.22,54,0,0
LRPL Taylor,2010-2015,39,5,10.4,2,34,2,2/4/2015,2/4/2015,17,3.18,32,0,0
TD Astle,2012-2012,1,2,31,6,97,1,1/56,1/97,97,3.12,186,0,0
DG Brownlie,2011-2013,14,5,11,0,52,1,1/13/2015,1/15/2015,52,4.72,66,0,0
BB McCullum,2010-2015,42,6,23.1,3,69,1,1/1/2015,1/13/2015,69,2.97,139,0,0
AJ McKay,2010-2010,1,1,31,5,120,1,1/120,1/120,120,3.87,186,0,0
JD Ryder,2010-2011,7,2,19,4,68,1,1/56,1/56,68,3.57,114,0,0
HK Bennett,2010-2010,1,1,15,2,47,0,-,-,-,3.13,-,0,0
DR Flynn,2012-2013,8,1,1,1,0,0,-,-,-,0,-,0,0
RJ Nicol,2012-2012,2,3,2.5,1,13,0,-,-,-,4.58,-,0,0
AJ Redmond,2013-2013,1,1,5,1,18,0,-,-,-,3.6,-,0,0
HD Rutherford,2013-2015,16,1,1,0,2,0,-,-,-,2,-,0,0
PG Fulton,2013-2014,13,-,-,-,-,-,-,-,-,-,-,-,-
GJ Hopkins,2010-2010,3,-,-,-,-,-,-,-,-,-,-,-,-
TWM Latham,2014-2015,11,-,-,-,-,-,-,-,-,-,-,-,-
TG McIntosh,2010-2011,4,-,-,-,-,-,-,-,-,-,-,-,-
L Ronchi,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-
CFK van Wyk,2012-2012,9,-,-,-,-,-,-,-,-,-,-,-,-
BJ Watling,2010-2015,27,-,-,-,-,-,-,-,-,-,-,-,-
RA Young,2011-2011,5,-,-,-,-,-,-,-,-,-,-,-,-
