Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,BBM,Ave,Econ,SR,5,10
Saeed Ajmal,2010-2014,27,52,1536.1,324,3889,148,7/55,11/111,26.27,2.53,62.2,9,4
Abdur Rehman,2010-2014,20,39,1023.4,235,2558,88,6/25/2015,8/92,29.06,2.49,69.7,2,0
Junaid Khan,2011-2015,22,41,767.3,157,2253,71,5/38,8/151,31.73,2.93,64.8,5,0
Yasir Shah,2014-2015,10,19,489.4,68,1514,61,7/76,9/155,24.81,3.09,48.1,4,0
Umar Gul,2010-2013,17,34,575.5,95,1914,55,4/61,8/148,34.8,3.32,62.8,0,0
Mohammad Hafeez,2010-2015,33,56,533.5,90,1444,48,4/16/2015,4/48,30.08,2.7,66.7,0,0
Zulfiqar Babar,2013-2015,10,18,490.2,75,1571,42,5/74,8/233,37.4,3.2,70,2,0
Rahat Ali,2013-2015,12,22,415.4,75,1293,36,6/127,7/100,35.91,3.11,69.2,2,0
Wahab Riaz,2010-2015,10,18,279,44,927,28,3/38,6/164,33.1,3.32,59.7,0,0
Aizaz Cheema,2011-2012,7,14,200,39,638,20,4/24/2015,8/103,31.9,3.19,60,0,0
Tanvir Ahmed,2010-2013,5,10,117.5,20,453,17,6/120,6/149,26.64,3.84,41.5,1,0
Imran Khan,2014-2015,5,10,120.1,17,414,14,5/58,5/109,29.57,3.44,51.5,1,0
Mohammad Irfan,2013-2013,4,6,118.4,15,389,10,3/44,4/86,38.9,3.27,71.2,0,0
Mohammad Talha,2014-2014,3,5,106.2,11,416,8,3/65,6/164,52,3.91,79.7,0,0
Bilawal Bhatti,2013-2014,2,3,73,12,291,6,3/65,5/211,48.5,3.98,73,0,0
Ehsan Adil,2013-2015,3,5,80.1,19,263,5,2/54,2/54,52.6,3.28,96.2,0,0
Azhar Ali,2010-2015,38,13,54,5,198,4,2/35,2/49,49.5,3.66,81,0,0
Younis Khan,2010-2015,38,13,44,6,150,2,1/16/2015,1/16/2015,75,3.4,132,0,0
Asad Shafiq,2010-2015,38,1,7,0,32,1,1/32,1/32,32,4.57,42,0,0
Mohammad Sami,2010-2012,2,4,54,2,221,1,1/69,1/92,221,4.09,324,0,0
Sohail Khan,2011-2011,1,2,30,9,81,1,1/62,1/81,81,2.7,180,0,0
Ahmed Shehzad,2013-2015,11,2,8,0,28,0,-,-,-,3.5,-,0,0
Adnan Akmal,2010-2014,21,-,-,-,-,-,-,-,-,-,-,-,-
Imran Farhat,2013-2013,1,-,-,-,-,-,-,-,-,-,-,-,-
Khurram Manzoor,2013-2014,9,-,-,-,-,-,-,-,-,-,-,-,-
Misbah-ul-Haq,2010-2015,39,-,-,-,-,-,-,-,-,-,-,-,-
Mohammad Ayub,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-
Mohammad Salman,2011-2011,2,-,-,-,-,-,-,-,-,-,-,-,-
Nasir Jamshed,2013-2013,2,-,-,-,-,-,-,-,-,-,-,-,-
Sami Aslam,2015-2015,2,-,-,-,-,-,-,-,-,-,-,-,-
Sarfraz Ahmed,2013-2015,17,-,-,-,-,-,-,-,-,-,-,-,-
Shan Masood,2013-2015,5,-,-,-,-,-,-,-,-,-,-,-,-
Taufeeq Umar,2010-2014,19,-,-,-,-,-,-,-,-,-,-,-,-
Umar Akmal,2010-2011,4,-,-,-,-,-,-,-,-,-,-,-,-
