Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
SP Narine,2011-2014,52,52,470.4,31,1934,73,27/05/2015,26.49,4.1,38.6,4,1
KAJ Roach,2011-2015,54,53,445.2,35,2228,73,27/06/2015,30.52,5,36.6,1,2
DJ Bravo,2011-2014,57,55,375.1,10,2153,70,6/43,30.75,5.73,32.1,2,1
R Rampaul,2011-2014,40,39,329.3,12,1688,66,5/49,25.57,5.12,29.9,5,2
AD Russell,2011-2015,50,49,352.5,13,2048,64,4/35,32,5.8,33,5,0
DJG Sammy,2011-2015,83,78,527.4,25,2516,50,21/03/2015,50.32,4.76,63.3,0,0
JO Holder,2013-2015,33,33,259.2,20,1469,46,13/04/2015,31.93,5.66,33.8,3,0
MN Samuels,2011-2015,67,49,298.1,11,1433,28,10/02/2015,51.17,4.8,63.8,0,0
JE Taylor,2014-2015,13,13,110.5,3,682,25,15/03/2015,27.28,6.15,26.6,0,0
SJ Benn,2011-2015,16,16,132.5,5,684,21,18/04/2015,32.57,5.14,37.9,3,0
TL Best,2012-2014,14,14,125.5,6,680,21,4/46,32.38,5.4,35.9,1,0
D Bishoo,2011-2011,13,13,111,3,476,20,3/34,23.8,4.28,33.3,0,0
KA Pollard,2011-2014,61,37,145,0,844,14,2/39,60.28,5.82,62.1,0,0
A Martin,2011-2011,9,9,74,5,296,11,4/36,26.9,4,40.3,1,0
NO Miller,2011-2015,13,11,85,2,421,11,4/45,38.27,4.95,46.3,1,0
V Permaul,2012-2013,6,6,51.1,0,240,8,3/40,30,4.69,38.3,0,0
CH Gayle,2011-2015,49,13,67.4,1,344,7,21/02/2015,49.14,5.08,58,0,0
DR Smith,2012-2015,28,10,36,0,225,5,07/02/2015,45,6.25,43.2,0,0
SS Cottrell,2015-2015,2,2,13,0,107,2,2/39,53.5,8.23,39,0,0
ML Cummins,2014-2014,1,1,6,1,42,1,1/42,42,7,36,0,0
LMP Simmons,2011-2015,49,11,25,0,163,1,03/01/2015,163,6.52,150,0,0
CR Brathwaite,2011-2015,4,3,24,1,116,0,-,-,4.83,-,0,0
N Deonarine,2013-2015,11,8,30,2,163,0,-,-,5.43,-,0,0
DS Smith,2011-2013,15,2,2.5,0,17,0,-,-,6,-,0,0
AB Barath,2011-2012,9,-,-,-,-,-,-,-,-,-,-,-
CS Baugh,2011-2012,17,-,-,-,-,-,-,-,-,-,-,-
DM Bravo,2011-2015,71,-,-,-,-,-,-,-,-,-,-,-
JL Carter,2015-2015,10,-,-,-,-,-,-,-,-,-,-,-
S Chanderpaul,2011-2011,7,-,-,-,-,-,-,-,-,-,-,-
J Charles,2012-2015,32,-,-,-,-,-,-,-,-,-,-,-
KA Edwards,2011-2014,16,-,-,-,-,-,-,-,-,-,-,-
DP Hyatt,2011-2011,9,-,-,-,-,-,-,-,-,-,-,-
LR Johnson,2015-2015,3,-,-,-,-,-,-,-,-,-,-,-
JN Mohammed,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-
KOA Powell,2011-2014,26,-,-,-,-,-,-,-,-,-,-,-
D Ramdin,2011-2015,46,-,-,-,-,-,-,-,-,-,-,-
RR Sarwan,2011-2013,25,-,-,-,-,-,-,-,-,-,-,-
DC Thomas,2011-2013,19,-,-,-,-,-,-,-,-,-,-,-
CAK Walton,2014-2014,3,-,-,-,-,-,-,-,-,-,-,-
