Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
BRM Taylor,2010-2015,60,60,4,2091,138,37.33,2486,84.11,5,12,8,198,31
H Masakadza,2010-2015,62,61,0,1744,93,28.59,2451,71.15,0,13,4,169,31
E Chigumbura,2010-2015,71,65,12,1536,117,28.98,1927,79.7,2,6,5,125,27
SC Williams,2011-2015,45,44,6,1388,96,36.52,1552,89.43,0,12,2,115,19
Sikandar Raza,2013-2015,45,42,5,1240,141,33.51,1452,85.39,3,3,1,118,27
CR Ervine,2010-2015,31,30,5,1104,130,44.16,1351,81.71,2,6,2,95,21
V Sibanda,2011-2015,39,39,2,1102,103,29.78,1541,71.51,1,8,3,119,18
CJ Chibhabha,2010-2015,32,32,2,990,99,33,1365,72.52,0,7,0,110,5
T Taibu,2010-2012,25,25,1,711,98,29.62,1004,70.81,0,7,1,56,7
MN Waller,2011-2015,34,31,2,643,99,22.17,872,73.73,0,3,2,64,5
P Utseya,2010-2015,48,41,16,578,67,23.12,923,62.62,0,2,5,36,7
R Mutumbami,2014-2015,20,19,2,435,74,25.58,566,76.85,0,3,2,44,8
RW Chakabva,2010-2015,31,28,1,395,45,14.62,730,54.1,0,0,2,27,1
AG Cremer,2010-2015,19,14,2,202,37,16.83,327,61.77,0,0,1,16,0
SF Mire,2014-2015,10,10,0,198,52,19.8,304,65.13,0,2,0,13,6
F Mutizwa,2011-2011,8,7,1,140,69,23.33,230,60.86,0,1,1,8,1
T Panyangara,2011-2015,36,24,7,125,33,7.35,228,54.82,0,0,5,14,1
SW Masakadza,2010-2014,12,9,1,123,38,15.37,127,96.85,0,0,1,11,7
RW Price,2010-2012,23,15,6,110,26,12.22,157,70.06,0,0,2,12,1
LM Jongwe,2014-2015,12,9,2,106,46,15.14,130,81.53,0,0,1,12,1
CT Mutombodzi,2013-2015,9,8,1,102,27,14.57,131,77.86,0,0,0,6,3
TL Chatara,2013-2015,27,18,10,99,23,12.37,166,59.63,0,0,2,9,2
T Maruma,2013-2014,8,8,0,87,29,10.87,163,53.37,0,0,0,4,3
BB Chari,2015-2015,4,4,0,76,39,19,164,46.34,0,0,0,4,0
GA Lamb,2011-2011,6,6,2,63,18,15.75,87,72.41,0,0,1,4,1
BV Vitori,2011-2015,19,10,3,63,20,9,69,91.3,0,0,3,5,4
KM Dabengwa,2010-2010,4,4,0,53,30,13.25,108,49.07,0,0,0,3,0
N Madziva,2014-2015,8,8,1,49,25,7,96,51.04,0,0,1,5,0
J Nyumbu,2014-2015,19,14,4,46,18,4.6,89,51.68,0,0,3,1,1
N M'shangwe,2011-2014,6,6,1,38,16,7.6,45,84.44,0,0,1,0,5
TMK Mawoyo,2012-2014,5,5,0,34,15,6.8,104,32.69,0,0,1,3,0
KM Jarvis,2011-2013,15,10,3,33,12,4.71,78,42.3,0,0,0,2,0
KO Meth,2010-2012,6,5,0,33,20,6.6,52,63.46,0,0,2,4,0
CK Coventry,2011-2015,5,4,0,28,14,7,44,63.63,0,0,1,1,2
S Matsikenyeri,2012-2015,4,4,0,28,19,7,53,52.83,0,0,0,2,0
T Kamungozi,2014-2015,10,8,4,27,12,6.75,42,64.28,0,0,1,5,0
DT Tiripano,2014-2015,7,5,2,24,13,8,42,57.14,0,0,0,3,0
T Mupariwa,2015-2015,4,3,1,19,18,9.5,11,172.72,0,0,1,2,1
PJ Moor,2014-2014,2,2,0,15,13,7.5,36,41.66,0,0,0,1,0
TS Chisoro,2015-2015,3,1,0,12,12,12,19,63.15,0,0,0,1,1
WP Masakadza,2015-2015,6,3,0,11,10,3.66,29,37.93,0,0,1,0,0
CB Mpofu,2010-2015,23,10,6,11,3,2.75,43,25.58,0,0,1,0,0
MT Chinouya,2013-2013,2,2,1,6,6,6,8,75,0,0,1,1,0
T Muzarabani,2015-2015,1,1,0,3,3,3,13,23.07,0,0,0,0,0
N Ncube,2011-2011,1,1,1,0,0,-,0,-,0,0,0,0,0
IA Nicolson,2010-2010,1,1,0,0,0,0,3,0,0,0,1,0,0
R Kaia,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-
